half_trip_id,route_id,direction_id,start_location,end_location,scheduled_start_time,scheduled_end_time,actual_start_time,actual_end_time
65802625.0,100,Outbound,welst,elm,2025-05-12 15:00:00,2025-05-12 15:11:00,2025-05-12 15:06:11,2025-05-12 15:18:05
65802626.0,100,Inbound,elm,welst,2025-05-12 15:15:00,2025-05-12 15:26:00,2025-05-12 15:24:30,2025-05-12 15:36:31
65802627.0,100,Outbound,welst,elm,2025-05-12 15:30:00,2025-05-12 15:41:00,2025-05-12 15:38:30,2025-05-12 15:48:10
65802628.0,100,Inbound,elm,welst,2025-05-12 15:45:00,2025-05-12 15:57:00,2025-05-12 15:48:49,2025-05-12 16:00:03
65802629.0,100,Outbound,welst,elm,2025-05-12 16:00:00,2025-05-12 16:11:00,2025-05-12 16:06:48,2025-05-12 16:18:58
65802630.0,100,Inbound,elm,welst,2025-05-12 16:15:00,2025-05-12 16:27:00,2025-05-12 16:23:13,2025-05-12 16:36:13
65802631.0,100,Outbound,welst,elm,2025-05-12 16:30:00,2025-05-12 16:41:00,2025-05-12 16:38:27,2025-05-12 16:47:10
65802632.0,100,Inbound,elm,welst,2025-05-12 16:45:00,2025-05-12 16:57:00,2025-05-12 16:52:23,2025-05-12 17:04:50
65802633.0,100,Outbound,welst,elm,2025-05-12 17:00:00,2025-05-12 17:11:00,2025-05-12 17:06:23,2025-05-12 17:18:22
65802634.0,100,Inbound,elm,welst,2025-05-12 17:15:00,2025-05-12 17:27:00,2025-05-12 17:19:12,2025-05-12 17:36:31
65802635.0,100,Outbound,welst,elm,2025-05-12 17:30:00,2025-05-12 17:41:00,2025-05-12 17:38:24,2025-05-12 17:48:19
65802636.0,100,Inbound,elm,welst,2025-05-12 17:45:00,2025-05-12 17:57:00,2025-05-12 17:53:12,2025-05-12 18:08:02
65802637.0,100,Outbound,welst,elm,2025-05-12 18:00:00,2025-05-12 18:11:00,2025-05-12 18:13:22,2025-05-12 18:25:34
65802657.0,100,Inbound,elm,welst,2025-05-12 18:15:00,2025-05-12 18:27:00,2025-05-12 18:17:48,2025-05-12 18:31:42
65802658.0,100,Outbound,welst,elm,2025-05-12 18:30:00,2025-05-12 18:41:00,2025-05-12 18:34:40,2025-05-12 18:47:12
65802659.0,100,Inbound,elm,welst,2025-05-12 18:45:00,2025-05-12 18:57:00,2025-05-12 18:47:59,2025-05-12 19:01:27
65802660.0,100,Outbound,welst,elm,2025-05-12 19:00:00,2025-05-12 19:11:00,2025-05-12 19:02:57,2025-05-12 19:17:06
65802661.0,100,Inbound,elm,welst,2025-05-12 19:15:00,2025-05-12 19:27:00,2025-05-12 19:17:41,2025-05-12 19:29:52
65802662.0,100,Outbound,welst,elm,2025-05-12 19:30:00,2025-05-12 19:41:00,2025-05-12 19:32:40,2025-05-12 19:45:58
65802663.0,100,Inbound,elm,welst,2025-05-12 19:45:00,2025-05-12 19:57:00,2025-05-12 19:46:34,2025-05-12 20:01:24
65802664.0,100,Outbound,welst,elm,2025-05-12 20:00:00,2025-05-12 20:11:00,2025-05-12 20:02:39,2025-05-12 20:13:23
65802665.0,100,Inbound,elm,welst,2025-05-12 20:15:00,2025-05-12 20:27:00,2025-05-12 20:15:21,2025-05-12 20:29:41
65802666.0,100,Outbound,welst,elm,2025-05-12 20:30:00,2025-05-12 20:41:00,2025-05-12 20:31:23,2025-05-12 20:44:25
65802667.0,100,Inbound,elm,welst,2025-05-12 20:45:00,2025-05-12 20:57:00,2025-05-12 20:45:15,2025-05-12 20:58:08
