service_date,route_id,direction_id,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway
2025-01-01,100,Inbound,65544861.0,8302,elm,1,Startpoint,Schedule,1900-01-01T10:50:00Z,1900-01-01T10:50:19Z,,
2025-01-01,100,Inbound,65544861.0,52720,welst,5,Endpoint,Schedule,1900-01-01T11:00:00Z,1900-01-01T10:59:42Z,,
2025-01-01,100,Outbound,65544881.0,52711,welst,1,Startpoint,Schedule,1900-01-01T15:37:00Z,1900-01-01T15:40:35Z,3600.0,
2025-01-01,100,Outbound,65544881.0,8301,elm,5,Endpoint,Schedule,1900-01-01T15:48:00Z,1900-01-01T15:49:02Z,3600.0,
2025-01-01,100,Inbound,65544882.0,8302,elm,1,Startpoint,Schedule,1900-01-01T15:50:00Z,1900-01-01T15:50:40Z,3600.0,
2025-01-01,100,Inbound,65544882.0,52720,welst,5,Endpoint,Schedule,1900-01-01T16:00:00Z,1900-01-01T16:00:05Z,3600.0,
2025-01-01,100,Outbound,65544887.0,52711,welst,1,Startpoint,Schedule,1900-01-01T20:37:00Z,1900-01-01T20:33:56Z,3600.0,
2025-01-01,100,Outbound,65544887.0,8301,elm,5,Endpoint,Schedule,1900-01-01T20:48:00Z,1900-01-01T20:50:03Z,3600.0,
2025-01-01,100,Inbound,65544888.0,8302,elm,1,Startpoint,Schedule,1900-01-01T20:50:00Z,1900-01-01T20:51:21Z,3600.0,
2025-01-01,100,Inbound,65544888.0,52720,welst,5,Endpoint,Schedule,1900-01-01T21:00:00Z,1900-01-01T21:01:37Z,3600.0,
2025-01-01,100,Outbound,65544898.0,52711,welst,1,Startpoint,Schedule,1900-01-02T00:37:00Z,1900-01-02T00:37:31Z,3600.0,
2025-01-01,100,Outbound,65544898.0,8301,elm,5,Endpoint,Schedule,1900-01-02T00:48:00Z,1900-01-02T00:50:24Z,3600.0,
2025-01-01,100,Inbound,65544899.0,8302,elm,1,Startpoint,Schedule,1900-01-02T00:50:00Z,1900-01-02T00:51:34Z,3600.0,
2025-01-01,100,Inbound,65544899.0,52720,welst,5,Endpoint,Schedule,1900-01-02T01:00:00Z,1900-01-02T01:01:49Z,3600.0,
2025-01-01,100,Outbound,65545057.0,52711,welst,1,Startpoint,Schedule,1900-01-01T13:37:00Z,1900-01-01T13:37:42Z,3600.0,
2025-01-01,100,Outbound,65545057.0,8301,elm,5,Endpoint,Schedule,1900-01-01T13:48:00Z,1900-01-01T13:47:41Z,3600.0,
2025-01-01,100,Inbound,65545058.0,8302,elm,1,Startpoint,Schedule,1900-01-01T13:50:00Z,1900-01-01T13:50:18Z,3600.0,
2025-01-01,100,Inbound,65545058.0,52720,welst,5,Endpoint,Schedule,1900-01-01T14:00:00Z,1900-01-01T14:01:35Z,3600.0,
2025-01-01,100,Outbound,65545192.0,52711,welst,1,Startpoint,Schedule,1900-01-01T17:37:00Z,1900-01-01T17:36:28Z,3600.0,
2025-01-01,100,Outbound,65545192.0,8301,elm,5,Endpoint,Schedule,1900-01-01T17:48:00Z,1900-01-01T17:50:53Z,3600.0,
2025-01-01,100,Inbound,65545193.0,8302,elm,1,Startpoint,Schedule,1900-01-01T17:50:00Z,1900-01-01T17:51:49Z,3600.0,
2025-01-01,100,Inbound,65545193.0,52720,welst,5,Endpoint,Schedule,1900-01-01T18:00:00Z,1900-01-01T18:03:26Z,3600.0,
2025-01-01,100,Outbound,65545194.0,52711,welst,1,Startpoint,Schedule,1900-01-01T22:37:00Z,1900-01-01T22:37:31Z,3600.0,
2025-01-01,100,Outbound,65545194.0,8301,elm,5,Endpoint,Schedule,1900-01-01T22:48:00Z,1900-01-01T22:48:00Z,3600.0,
2025-01-01,100,Inbound,65545195.0,8302,elm,1,Startpoint,Schedule,1900-01-01T22:50:00Z,1900-01-01T22:51:28Z,3600.0,
2025-01-01,100,Inbound,65545195.0,52720,welst,5,Endpoint,Schedule,1900-01-01T23:00:00Z,1900-01-01T23:01:29Z,3600.0,
2025-01-01,100,Outbound,65545204.0,52711,welst,1,Startpoint,Schedule,1900-01-02T03:37:00Z,1900-01-02T03:40:37Z,3600.0,
2025-01-01,100,Outbound,65545204.0,8301,elm,5,Endpoint,Schedule,1900-01-02T03:48:00Z,1900-01-02T03:49:37Z,3600.0,
2025-01-01,100,Inbound,65545205.0,8302,elm,1,Startpoint,Schedule,1900-01-02T03:50:00Z,1900-01-02T03:50:20Z,3600.0,
2025-01-01,100,Inbound,65545205.0,52720,welst,5,Endpoint,Schedule,1900-01-02T04:00:00Z,1900-01-02T03:58:52Z,3600.0,
2025-01-01,100,Outbound,65545211.0,52711,welst,1,Startpoint,Schedule,1900-01-01T19:37:00Z,1900-01-01T19:37:37Z,3600.0,
2025-01-01,100,Outbound,65545211.0,8301,elm,5,Endpoint,Schedule,1900-01-01T19:48:00Z,1900-01-01T19:54:44Z,3600.0,
2025-01-01,100,Inbound,65545212.0,8302,elm,1,Startpoint,Schedule,1900-01-01T19:50:00Z,1900-01-01T19:55:39Z,3600.0,
2025-01-01,100,Inbound,65545212.0,52720,welst,5,Endpoint,Schedule,1900-01-01T20:00:00Z,1900-01-01T20:08:11Z,3600.0,
2025-01-02,100,Inbound,65553143.0,8302,elm,1,Startpoint,Schedule,1900-01-01T12:50:00Z,1900-01-01T12:51:00Z,1080.0,
2025-01-02,100,Inbound,65553143.0,52720,welst,5,Endpoint,Schedule,1900-01-01T13:09:00Z,1900-01-01T13:04:42Z,1080.0,
2025-01-02,100,Outbound,65553144.0,52711,welst,1,Startpoint,Schedule,1900-01-01T13:13:00Z,1900-01-01T13:14:05Z,1200.0,
2025-01-02,100,Outbound,65553144.0,8301,elm,5,Endpoint,Schedule,1900-01-01T13:27:00Z,1900-01-01T13:26:38Z,1200.0,
2025-01-02,100,Inbound,65553145.0,8302,elm,1,Startpoint,Schedule,1900-01-01T13:30:00Z,1900-01-01T13:30:27Z,1200.0,
2025-01-02,100,Inbound,65553145.0,52720,welst,5,Endpoint,Schedule,1900-01-01T13:49:00Z,1900-01-01T13:41:19Z,1200.0,
2025-01-02,100,Outbound,65553146.0,52711,welst,1,Startpoint,Schedule,1900-01-01T13:53:00Z,1900-01-01T13:49:51Z,1200.0,
2025-01-02,100,Outbound,65553146.0,8301,elm,5,Endpoint,Schedule,1900-01-01T14:06:00Z,1900-01-01T14:03:27Z,1140.0,
2025-01-02,100,Inbound,65553147.0,8302,elm,1,Startpoint,Schedule,1900-01-01T14:10:00Z,1900-01-01T14:10:07Z,1200.0,
2025-01-02,100,Inbound,65553147.0,52720,welst,5,Endpoint,Schedule,1900-01-01T14:23:00Z,1900-01-01T14:21:16Z,1020.0,
2025-01-02,100,Outbound,65553148.0,52711,welst,1,Startpoint,Schedule,1900-01-01T14:33:00Z,1900-01-01T14:29:29Z,1200.0,
2025-01-02,100,Outbound,65553148.0,8301,elm,5,Endpoint,Schedule,1900-01-01T14:45:00Z,1900-01-01T14:42:46Z,1200.0,
2025-01-02,100,Inbound,65553149.0,8302,elm,1,Startpoint,Schedule,1900-01-01T14:55:00Z,1900-01-01T14:55:33Z,1500.0,
2025-01-02,100,Inbound,65553149.0,52720,welst,5,Endpoint,Schedule,1900-01-01T15:08:00Z,1900-01-01T15:06:05Z,1500.0,
2025-01-02,100,Outbound,65553150.0,52711,welst,1,Startpoint,Schedule,1900-01-01T15:15:00Z,1900-01-01T15:11:32Z,1320.0,
2025-01-02,100,Outbound,65553150.0,8301,elm,5,Endpoint,Schedule,1900-01-01T15:27:00Z,1900-01-01T15:23:44Z,1320.0,
2025-01-02,100,Inbound,65553151.0,8302,elm,1,Startpoint,Schedule,1900-01-01T15:30:00Z,1900-01-01T15:30:02Z,2100.0,
2025-01-02,100,Inbound,65553151.0,52720,welst,5,Endpoint,Schedule,1900-01-01T15:43:00Z,1900-01-01T15:42:22Z,2100.0,
2025-01-02,100,Outbound,65553154.0,52711,welst,1,Startpoint,Schedule,1900-01-01T12:53:00Z,1900-01-01T12:45:39Z,1200.0,
2025-01-02,100,Outbound,65553154.0,8301,elm,5,Endpoint,Schedule,1900-01-01T13:07:00Z,1900-01-01T13:06:41Z,1200.0,
2025-01-02,100,Inbound,65553155.0,8302,elm,1,Startpoint,Schedule,1900-01-01T13:10:00Z,1900-01-01T13:06:54Z,1200.0,
2025-01-02,100,Inbound,65553155.0,52720,welst,5,Endpoint,Schedule,1900-01-01T13:29:00Z,1900-01-01T13:23:07Z,1200.0,
2025-01-02,100,Outbound,65553156.0,52711,welst,1,Startpoint,Schedule,1900-01-01T13:33:00Z,1900-01-01T13:33:50Z,1200.0,
2025-01-02,100,Outbound,65553156.0,8301,elm,5,Endpoint,Schedule,1900-01-01T13:47:00Z,1900-01-01T13:44:46Z,1200.0,
2025-01-02,100,Inbound,65553157.0,8302,elm,1,Startpoint,Schedule,1900-01-01T13:50:00Z,1900-01-01T13:50:58Z,1200.0,
